email;tipo;nome;regional;loja
loja46@farmaconde.com.br;Operador;loja46;ANSELMO;46
loja47@farmaconde.com.br;Operador;loja47;AMANDA;47
loja48@farmaconde.com.br;Operador;loja48;SAVIO;48
loja49@farmaconde.com.br;Operador;loja49;ANSELMO;49
loja50@farmaconde.com.br;Operador;loja50;ANSELMO;50
loja51@farmaconde.com.br;Operador;loja51;ROBERTO;51
loja52@farmaconde.com.br;Operador;loja52;ROBERTO;52
loja53@farmaconde.com.br;Operador;loja53;DONIZETI;53
loja54@farmaconde.com.br;Operador;loja54;DONIZETI;54
loja55@farmaconde.com.br;Operador;loja55;MURILO;55
loja56@farmaconde.com.br;Operador;loja56;MURILO;56
loja57@farmaconde.com.br;Operador;loja57;LUIZ;57
loja58@farmaconde.com.br;Operador;loja58;MARRONE;58
loja59@farmaconde.com.br;Operador;loja59;DONIZETI;59
loja60@farmaconde.com.br;Operador;loja60;PAULO;60
loja61@farmaconde.com.br;Operador;loja61;ROBERTO;61
loja62@farmaconde.com.br;Operador;loja62;ROBERTO;62
loja63@farmaconde.com.br;Operador;loja63;VALMIR;63
loja64@farmaconde.com.br;Operador;loja64;DONIZETI;64
loja65@farmaconde.com.br;Operador;loja65;EDUARDO;65
loja66@farmaconde.com.br;Operador;loja66;MARRONE;66
loja67@farmaconde.com.br;Operador;loja67;EDUARDO;67
loja68@farmaconde.com.br;Operador;loja68;AMANDA;68
loja69@farmaconde.com.br;Operador;loja69;SAVIO;69
loja70@farmaconde.com.br;Operador;loja70;ROBERTO;70
loja71@farmaconde.com.br;Operador;loja71;VALMIR;71
loja72@farmaconde.com.br;Operador;loja72;MURILO;72
loja73@farmaconde.com.br;Operador;loja73;ROBERTO;73
loja74@farmaconde.com.br;Operador;loja74;VALMIR;74
loja75@farmaconde.com.br;Operador;loja75;MURILO;75
loja76@farmaconde.com.br;Operador;loja76;DONIZETI;76
loja77@farmaconde.com.br;Operador;loja77;AMANDA;77
loja78@farmaconde.com.br;Operador;loja78;EDUARDO;78
loja79@farmaconde.com.br;Operador;loja79;LUIZ;79
loja80@farmaconde.com.br;Operador;loja80;LUIZ;80
loja81@farmaconde.com.br;Operador;loja81;DONIZETI;81
loja82@farmaconde.com.br;Operador;loja82;LUIZ;82
loja83@farmaconde.com.br;Operador;loja83;LUCAS;83
loja84@farmaconde.com.br;Operador;loja84;ROBERTO;84
loja85@farmaconde.com.br;Operador;loja85;ANSELMO;85
loja86@farmaconde.com.br;Operador;loja86;FERNANDO;86
loja87@farmaconde.com.br;Operador;loja87;MURILO;87
loja88@farmaconde.com.br;Operador;loja88;LUIZ;88
loja89@farmaconde.com.br;Operador;loja89;ANDRÉ;89
loja90@farmaconde.com.br;Operador;loja90;MARRONE;90
loja91@farmaconde.com.br;Operador;loja91;ANSELMO;91
loja92@farmaconde.com.br;Operador;loja92;MURILO;92
loja93@farmaconde.com.br;Operador;loja93;ROBERTO;93
loja94@farmaconde.com.br;Operador;loja94;MURILO;94
loja95@farmaconde.com.br;Operador;loja95;SAVIO;95
loja96@farmaconde.com.br;Operador;loja96;SAVIO;96
loja97@farmaconde.com.br;Operador;loja97;LUIZ;97
loja98@farmaconde.com.br;Operador;loja98;ANSELMO;98
loja99@farmaconde.com.br;Operador;loja99;VALMIR;99
loja100@farmaconde.com.br;Operador;loja100;LUCAS;100
loja101@farmaconde.com.br;Operador;loja101;LUIZ;101
loja102@farmaconde.com.br;Operador;loja102;LUIZ;102
loja103@farmaconde.com.br;Operador;loja103;LUIZ;103
loja104@farmaconde.com.br;Operador;loja104;MURILO;104
loja105@farmaconde.com.br;Operador;loja105;AMANDA;105
loja106@farmaconde.com.br;Operador;loja106;LUCAS;106
loja107@farmaconde.com.br;Operador;loja107;SIMONE;107
loja108@farmaconde.com.br;Operador;loja108;MURILO;108
loja109@farmaconde.com.br;Operador;loja109;PAULO;109
loja110@farmaconde.com.br;Operador;loja110;MURILO;110
loja111@farmaconde.com.br;Operador;loja111;SAVIO;111
loja113@farmaconde.com.br;Operador;loja113;PAULO;113
loja114@farmaconde.com.br;Operador;loja114;MARRONE;114
loja116@farmaconde.com.br;Operador;loja116;MARRONE;116
loja117@farmaconde.com.br;Operador;loja117;FERNANDO;117
loja118@farmaconde.com.br;Operador;loja118;SAVIO;118
loja119@farmaconde.com.br;Operador;loja119;LUCAS;119
loja120@farmaconde.com.br;Operador;loja120;FERNANDO;120
loja121@farmaconde.com.br;Operador;loja121;MARRONE;121
loja122@farmaconde.com.br;Operador;loja122;ANDRÉ;122
loja123@farmaconde.com.br;Operador;loja123;MARRONE;123
loja124@farmaconde.com.br;Operador;loja124;ANDRÉ;124
loja125@farmaconde.com.br;Operador;loja125;PAULO;125
loja126@farmaconde.com.br;Operador;loja126;FERNANDO;126
loja127@farmaconde.com.br;Operador;loja127;SAVIO;127
loja129@farmaconde.com.br;Operador;loja129;FERNANDO;129
loja130@farmaconde.com.br;Operador;loja130;EDUARDO;130
loja131@farmaconde.com.br;Operador;loja131;PAULO;131
loja132@farmaconde.com.br;Operador;loja132;FERNANDO;132
loja133@farmaconde.com.br;Operador;loja133;FERNANDO;133
loja134@farmaconde.com.br;Operador;loja134;PAULO;134
loja135@farmaconde.com.br;Operador;loja135;LUIZ;135
loja136@farmaconde.com.br;Operador;loja136;ANDRÉ;136
loja137@farmaconde.com.br;Operador;loja137;ANDRÉ;137
loja138@farmaconde.com.br;Operador;loja138;AMANDA;138
loja139@farmaconde.com.br;Operador;loja139;SAVIO;139
loja140@farmaconde.com.br;Operador;loja140;ANDRÉ;140
loja141@farmaconde.com.br;Operador;loja141;ROBERTO;141
loja142@farmaconde.com.br;Operador;loja142;PAULO;142
loja143@farmaconde.com.br;Operador;loja143;ANDRÉ;143
loja144@farmaconde.com.br;Operador;loja144;LUIZ;144
loja145@farmaconde.com.br;Operador;loja145;FERNANDO;145
loja146@farmaconde.com.br;Operador;loja146;ROBERTO;146
loja148@farmaconde.com.br;Operador;loja148;ANSELMO;148
loja151@farmaconde.com.br;Operador;loja151;DONIZETI;151
loja153@farmaconde.com.br;Operador;loja153;LUIZ;153
loja154@farmaconde.com.br;Operador;loja154;LUCAS;154
loja155@farmaconde.com.br;Operador;loja155;ANSELMO;155
loja156@farmaconde.com.br;Operador;loja156;PAULO;156
loja157@farmaconde.com.br;Operador;loja157;MARRONE;157
loja158@farmaconde.com.br;Operador;loja158;LUIZ;158
loja160@farmaconde.com.br;Operador;loja160;FERNANDO;160
loja161@farmaconde.com.br;Operador;loja161;PAULO;161
loja162@farmaconde.com.br;Operador;loja162;FERNANDO;162
loja163@farmaconde.com.br;Operador;loja163;MURILO;163
loja164@farmaconde.com.br;Operador;loja164;MURILO;164
loja165@farmaconde.com.br;Operador;loja165;MURILO;165
loja166@farmaconde.com.br;Operador;loja166;PAULO;166
loja167@farmaconde.com.br;Operador;loja167;ROBERTO;167
loja170@farmaconde.com.br;Operador;loja170;FERNANDO;170
loja171@farmaconde.com.br;Operador;loja171;MURILO;171
loja173@farmaconde.com.br;Operador;loja173;ROBERTO;173
loja174@farmaconde.com.br;Operador;loja174;ANDRÉ;174
loja175@farmaconde.com.br;Operador;loja175;FERNANDO;175
loja176@farmaconde.com.br;Operador;loja176;DONIZETI;176
loja177@farmaconde.com.br;Operador;loja177;DONIZETI;177
loja178@farmaconde.com.br;Operador;loja178;LUCAS;178
loja179@farmaconde.com.br;Operador;loja179;VALMIR;179
loja180@farmaconde.com.br;Operador;loja180;ROBERTO;180
loja181@farmaconde.com.br;Operador;loja181;MURILO;181
loja182@farmaconde.com.br;Operador;loja182;VALMIR;182
loja183@farmaconde.com.br;Operador;loja183;ANSELMO;183
loja184@farmaconde.com.br;Operador;loja184;PAULO;184
loja185@farmaconde.com.br;Operador;loja185;ANSELMO;185
loja186@farmaconde.com.br;Operador;loja186;FERNANDO;186
loja187@farmaconde.com.br;Operador;loja187;PAULO;187
loja188@farmaconde.com.br;Operador;loja188;LUCAS;188
loja189@farmaconde.com.br;Operador;loja189;ROBERTO;189
loja190@farmaconde.com.br;Operador;loja190;MURILO;190
loja191@farmaconde.com.br;Operador;loja191;LUIZ;191
loja192@farmaconde.com.br;Operador;loja192;FERNANDO;192
loja193@farmaconde.com.br;Operador;loja193;FERNANDO;193
loja194@farmaconde.com.br;Operador;loja194;ROBERTO;194
loja195@farmaconde.com.br;Operador;loja195;FERNANDO;195
loja197@farmaconde.com.br;Operador;loja197;ROBERTO;197
loja198@farmaconde.com.br;Operador;loja198;ROBERTO;198
loja200@farmaconde.com.br;Operador;loja200;MURILO;200
loja201@farmaconde.com.br;Operador;loja201;DONIZETI;201
loja202@farmaconde.com.br;Operador;loja202;DONIZETI;202
loja203@farmaconde.com.br;Operador;loja203;ROBERTO;203
loja204@farmaconde.com.br;Operador;loja204;FERNANDO;204
loja205@farmaconde.com.br;Operador;loja205;ANSELMO;205
loja206@farmaconde.com.br;Operador;loja206;SAVIO;206
loja207@farmaconde.com.br;Operador;loja207;VALMIR;207
loja208@farmaconde.com.br;Operador;loja208;ANSELMO;208
loja209@farmaconde.com.br;Operador;loja209;EDUARDO;209
loja211@farmaconde.com.br;Operador;loja211;VALMIR;211
loja212@farmaconde.com.br;Operador;loja212;AMANDA;212
loja213@farmaconde.com.br;Operador;loja213;VALMIR;213
loja215@farmaconde.com.br;Operador;loja215;ANSELMO;215
loja216@farmaconde.com.br;Operador;loja216;ANSELMO;216
loja217@farmaconde.com.br;Operador;loja217;MARRONE;217
loja218@farmaconde.com.br;Operador;loja218;VALMIR;218
loja219@farmaconde.com.br;Operador;loja219;LUCAS;219
loja222@farmaconde.com.br;Operador;loja222;DONIZETI;222
loja224@farmaconde.com.br;Operador;loja224;ROBERTO;224
loja225@farmaconde.com.br;Operador;loja225;LUCAS;225
loja226@farmaconde.com.br;Operador;loja226;LUCAS;226
